t_ms,grf_L,copx_L,copy_L,grf_R,copx_R,copy_R,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
3759,0.159,0.6769,0.5614,429.975,0.3953,0.7054,0.000,0.000,0.000,0.021,0.000,0.014,0.016,0.000,0.003,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.005,0.000,0.052,0.000,0.000,0.000,0.008,0.014,10.628,6.230,3.550,5.675,3.681,10.243,3.841,4.691,13.100,11.016,6.495,2.349,9.064,14.712,7.954,24.543,32.446,20.298,6.998,38.125,61.847,63.098,45.339,24.051
3780,0.246,0.5642,0.5984,429.960,0.3960,0.7041,0.000,0.018,0.005,0.011,0.014,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.005,0.041,0.000,0.017,0.000,0.037,0.000,0.019,0.031,0.001,11.633,6.102,3.633,5.648,4.890,10.100,3.726,4.056,13.359,10.322,6.440,2.590,8.607,14.428,7.168,24.616,32.150,20.867,6.975,38.241,62.724,62.713,45.708,23.263
3806,0.116,0.5894,0.4265,425.729,0.3949,0.7075,0.008,0.000,0.000,0.036,0.000,0.013,0.014,0.002,0.000,0.000,0.000,0.000,0.008,0.000,0.003,0.000,0.016,0.000,0.015,0.000,0.000,0.000,0.000,0.000,10.429,5.682,3.474,6.328,4.291,9.616,3.598,4.009,12.788,10.447,6.597,2.483,8.583,13.498,7.568,24.291,32.129,20.441,7.039,38.678,61.772,63.200,45.753,23.035
0,128.137,0.5918,0.2547,345.612,0.3566,0.7594,25.900,40.576,5.646,22.615,5.108,3.587,3.737,1.901,3.194,3.795,2.384,0.617,2.551,4.195,0.485,0.000,0.444,0.218,0.681,0.000,0.076,0.428,0.000,0.000,2.624,1.778,0.801,1.954,1.490,6.019,1.618,2.374,6.345,7.378,4.449,1.756,4.003,7.136,11.188,24.681,22.354,10.342,3.081,58.520,74.896,54.176,26.205,10.445
3825,0.160,0.5698,0.3911,426.307,0.3948,0.7072,0.006,0.013,0.039,0.018,0.000,0.007,0.004,0.000,0.016,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,10.728,6.321,3.223,6.225,3.707,10.063,3.665,4.350,12.746,10.183,6.581,2.206,7.623,14.100,7.551,24.065,32.565,20.278,7.334,38.915,62.530,63.370,44.876,23.102
19,127.412,0.5872,0.2575,345.633,0.3556,0.7576,25.945,40.503,6.007,22.604,4.621,3.347,2.936,2.507,3.166,3.793,2.068,0.592,2.000,2.888,0.979,0.782,0.374,0.863,0.565,0.366,0.000,0.000,0.385,0.120,2.519,2.454,0.975,1.586,1.469,6.180,2.404,2.506,6.391,7.039,5.335,0.927,3.907,7.292,10.856,24.684,23.150,9.505,2.838,59.038,74.763,54.062,25.965,9.785
3841,0.178,0.5832,0.5392,429.764,0.3945,0.7067,0.001,0.020,0.001,0.000,0.000,0.042,0.000,0.014,0.014,0.000,0.000,0.012,0.000,0.000,0.000,0.014,0.008,0.000,0.000,0.000,0.008,0.014,0.022,0.008,10.505,6.201,3.245,6.952,4.178,9.411,3.995,4.060,13.049,10.646,6.490,2.218,8.223,13.909,8.373,24.621,32.266,20.599,6.613,39.049,62.519,63.720,45.052,23.871
34,125.879,0.5934,0.2543,348.667,0.3570,0.7555,25.522,39.986,5.885,22.494,4.796,3.568,3.116,2.200,3.261,2.889,2.724,0.708,2.676,3.524,0.053,0.182,0.177,0.000,1.243,0.000,0.438,0.073,0.365,0.000,2.679,2.300,1.309,2.229,2.135,6.094,2.620,2.639,5.786,7.455,4.205,1.347,4.462,6.934,10.816,25.224,22.725,10.490,3.312,58.377,75.274,53.734,25.799,10.722
3857,0.112,0.6535,0.5077,347.419,0.3557,0.7563,0.000,0.000,0.000,0.009,0.032,0.000,0.000,0.014,0.000,0.000,0.001,0.010,0.000,0.000,0.000,0.002,0.021,0.000,0.000,0.000,0.011,0.000,0.012,0.000,2.610,2.056,2.468,1.620,1.458,6.588,2.483,2.282,6.321,7.211,3.996,1.101,4.134,7.094,11.393,24.758,22.139,10.202,3.616,58.993,75.048,52.976,26.331,10.542
50,126.014,0.5896,0.2539,349.065,0.3571,0.7550,25.624,39.732,5.539,22.358,5.310,4.083,3.121,2.487,3.029,3.741,2.604,0.251,2.315,3.643,0.000,0.857,0.000,0.157,0.274,0.000,0.000,0.641,0.006,0.242,3.143,1.788,1.443,1.818,2.252,6.379,2.671,2.270,6.588,7.111,4.306,1.542,4.760,7.011,10.979,24.345,23.066,10.909,2.331,58.504,75.073,53.596,26.635,10.545
